Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",46 m²,7.7 tỷ,4 m,3 m,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Phố 8/3, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội",42 m²,8.3 tỷ,3.5 m,8 m,5 tầng,4 phòng,4 phòng,,Full nội thất,,
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",70 m²,6.6 tỷ,,,5 tầng,6 phòng,5 phòng,Sổ đỏ.,,,
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",46 m²,6.75 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Ngõ 171, Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Cầu Giấy, Hà Nội",90 m²,16 tỷ,,,5 tầng,,,,,,
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",45 m²,5.35 tỷ,,4.5 m,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",72 m²,6.98 tỷ,4.2 m,5 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Đặng Văn Ngữ, Phường Trung Tự, Đống Đa, Hà Nội",55 m²,5.6 tỷ,3.9 m,3 m,4 tầng,4 phòng,3 phòng,,,,
"Ngõ 169, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",40 m²,4.25 tỷ,4.5 m,2 m,5 tầng,3 phòng,4 phòng,Sổ đỏ.,,Bắc,Bắc
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",62 m²,6.3 tỷ,4 m,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ sổ hồng,,,
"Ngõ 59, Phố Khúc Thừa Dụ, Phường Dịch Vọng, Cầu Giấy, Hà Nội",45 m²,6.5 tỷ,,,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,,
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội",58 m²,8.25 tỷ,4 m,4 m,5 tầng,5 phòng,4 phòng,,,,
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",62 m²,7.05 tỷ,5.4 m,4 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Đào Tấn, Phường Liễu Giai, Ba Đình, Hà Nội",40 m²,9 tỷ,4 m,3 m,7 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,
"Đường Tô Vĩnh Diện, Phường Khương Trung, Thanh Xuân, Hà Nội",43 m²,4.7 tỷ,4 m,3 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",40 m²,6.2 tỷ,4 m,,5 tầng,5 phòng,,,,,
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",33 m²,4.1 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Yên Nghĩa, Phường Yên Nghĩa, Hà Đông, Hà Nội",32 m²,2.28 tỷ,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",55 m²,6.8 tỷ,4 m,,5 tầng,7 phòng,,Sổ đỏ/ Sổ hồng,,,
"Ngõ 209, Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",36 m²,3.7 tỷ,4 m,6 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,
"Ngõ 640, Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",40 m²,3.4 tỷ,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,Tây - Nam,Đông - Bắc
"Phố Cự Lộc, Phường Thượng Đình, Thanh Xuân, Hà Nội",38 m²,3.8 tỷ,4 m,3 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,,
"Phố Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội",45 m²,8.8 tỷ,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Đường Mỹ Đình 1, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",50 m²,6.35 tỷ,,,6 tầng,9 phòng,,,Đầy đủ,,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",34 m²,3.9 tỷ,,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Full.,,
"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",130 m²,19.5 tỷ,8 m,4 m,7 tầng,33 phòng,33 phòng,,"Full nội thất: Điều hòa, bình nóng lạnh, giường, tủ, rèm, tủ bếp, cục phát wifi, camera.",Nam,Nam
"Đường Vân Canh, Xã Vân Canh, Hoài Đức, Hà Nội",30 m²,2.9 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Đường Phố Lụa, Phường Vạn Phúc, Hà Đông, Hà Nội",60 m²,8.5 tỷ,7.86 m,4 m,7 tầng,14 phòng,14 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ tiện ích cho thuê,,
"Đường Lê Trọng Tấn, Phường Khương Trung, Thanh Xuân, Hà Nội",35 m²,4.85 tỷ,,,6 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",34 m²,2.3 tỷ,4 m,3.3 m,4 tầng,3 phòng,3 phòng,Sổ đỏ,Nội thất cơ bản,Đông - Nam,Đông - Nam
"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",60 m²,16.5 tỷ,6 m,5 m,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",50 m²,7.7 tỷ,4 m,,,,,Sổ đỏ/ Sổ hồng,,,
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",51 m²,6.3 tỷ,3.25 m,,3 tầng,,,Sổ đỏ,,,
"Đường Thụy Khuê, Phường Ngọc Hà, Ba Đình, Hà Nội",30 m²,4.59 tỷ,,,,,,Sổ đỏ/ Sổ hồng,Nội thất đày đủ,,
"Phố Đặng Thai Mai, Phường Quảng An, Quận Ba Đình,Hà Nội",54 m²,11 tỷ,3.6 m,6 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Huỳnh Thúc Kháng, Phường Láng Hạ, Đống Đa, Hà Nội",99 m²,28.5 tỷ,,,7 tầng,,,Sổ đỏ.,,Tây - Nam,
"Phường Ngọc Thụy, Long Biên, Hà Nội",54 m²,3.7 tỷ,,,,,,,,,
"Đường Âu Cơ, Phường Quảng An, Tây Hồ, Hà Nội",66 m²,Thỏa thuận,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Phường Ngọc Thụy, Long Biên, Hà Nội",40 m²,3.9 tỷ,,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất long lanh sàn gỗ cửa gỗ lim, cửa cuốn tủ bếp hút mùi nhập ngoại, trần thạch cao đèn led...",,
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",72 m²,14.5 tỷ,,,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"18, Phố Phạm Huy Thông, Phường Ngọc Khánh, Ba Đình, Hà Nội",85 m²,33 tỷ,,,,,,,,,
"Ngõ 178, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",40 m²,8.8 tỷ,4 m,,5 tầng,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,
"Đường Bạch Đằng, Phường Chương Dương Độ, Hoàn Kiếm, Hà Nội.",40.5 m²,3.2 tỷ,,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",50 m²,5.98 tỷ,4 m,,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Đại La, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",150 m²,25.8 tỷ,10 m,6 m,,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",60 m²,4.9 tỷ,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất cao cấp.,,
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",30.1 m²,2.65 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường 23B, Xã Bắc Hồng, Đông Anh, Hà Nội",51.9 m²,2.45 tỷ,4.55 m,6 m,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Ngọc Nại, Phường Khương Mai, Thanh Xuân, Hà Nội",50 m²,11.2 tỷ,6 m,5 m,8 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",50 m²,8.95 tỷ,3.9 m,3 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Chủ tặng full nội thất,,
"Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",60 m²,3.7 tỷ,4.2 m,4 m,4 tầng,5 phòng,4 phòng,,Nội thất mới cao cấp,,
"Phường Tân Mai, Hoàng Mai, Hà Nội",58 m²,9.5 tỷ,4.5 m,6 m,6 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp.,Đông - Nam,Đông - Nam
"Đường Lĩnh Nam, Phường Mai Động, Hoàng Mai, Hà Nội",60 m²,8.5 tỷ,4 m,6 m,6 tầng,9 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Thang máy thiết bị xịn.,Đông - Nam,Đông - Nam
"Ngõ 61, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",70 m²,12.8 tỷ,,,5 tầng,5 phòng,,,,,
"Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội",45 m²,4.95 tỷ,4.8 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ vuông vắn pháp lí đầy đủ sẵn sàng giao dịch,Nội thất đầy đủ,,
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",45 m²,12 tỷ,7.7 m,8 m,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"Phố Bạch Mai, Phường Trương Định, Hai Bà Trưng, Hà Nội",43 m²,4.4 tỷ,,2 m,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Nam,Nam
"Ngõ 28, Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",58 m²,6.9 tỷ,3.5 m,2.5 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",100 m²,242 triệu/m²,,10 m,7 tầng,6 phòng,,Sổ đỏ/ Sổ hồng,,,
"Ngõ 41, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45 m²,7.5 tỷ,5 m,,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Đông - Bắc,
"Ngõ 63, Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",180 m²,101 triệu/m²,,3 m,2 tầng,,,Sổ đỏ.,,Tây - Bắc,
"Đường Đa Tốn, Xã Đa Tốn, Gia Lâm, Hà Nội",78 m²,43 triệu/m²,4.5 m,3 m,3 tầng,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,
"Đường Đông Dư, Xã Đông Dư, Gia Lâm, Hà Nội",51 m²,5.5 tỷ,4.1 m,6 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,Tây - Nam,Tây - Nam
"Phường Kiến Hưng, Hà Đông, Hà Nội",30 m²,3.4 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội",42 m²,Thỏa thuận,4 m,,4 tầng,,4 phòng,,,,
"Đường Hạ Yên Quyết, Phường Yên Hòa, Cầu Giấy, Hà Nội",55 m²,10.4 tỷ,4.5 m,,6 tầng,,,,,,
"Phố An Xá, Phường Phúc Xá, Ba Đình, Hà Nội",63 m²,6.7 tỷ,3.1 m,,4 tầng,4 phòng,3 phòng,Đã có sổ,Đầy đủ,,
"Đường Yên Phụ, Phường Yên Phụ, Tây Hồ, Hà Nội",296 m²,68 tỷ,,,6 tầng,20 phòng,20 phòng,,,,
"Phố Lê Thanh Nghị, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",140 m²,52 tỷ,8 m,,8 tầng,,,Sổ đỏ/ Sổ hồng,Bàn giao thô,Tây,Tây
"Phố Lê Thanh Nghị, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",50 m²,10.5 tỷ,,,5 tầng,4 phòng,,,,,
"Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",99 m²,17 tỷ,,,6 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Nhập khẩu 100% Italia.,,
"Đường Tân Ấp, Phường Phúc Xá, Ba Đình, Hà Nội",40 m²,4.5 tỷ,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nhập khẩu 100% Italia,,
"Đường Nguyễn Khuyến, Phường Văn Miếu, Đống Đa, Hà Nội",30 m²,6 tỷ,,4 m,5 tầng,5 phòng,5 phòng,,,,
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",75 m²,11.5 tỷ,6 m,10 m,6 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,ĐẦY ĐỦ NỘI THẤT CAO CẤP,Tây - Bắc,Tây - Bắc
"Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",37 m²,3 tỷ,4 m,2 m,5 tầng,3 phòng,3 phòng,,,Tây - Bắc,Tây - Bắc
"Đường Âu Cơ, Phường Tứ Liên, Tây Hồ, Hà Nội",80 m²,12 tỷ,,,8 tầng,8 phòng,8 phòng,Sổ đỏ,Thang máy nhập khẩu mới kính coong,,
"Đường Đào Duy Tùng, Xã Uy Nỗ, Đông Anh, Hà Nội",100 m²,37 triệu/m²,,,3 tầng,3 phòng,2 phòng,,,,
"Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội",75 m²,46 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,,
"Dự án Riverside Tower 79 Thanh Đàm, Phố Thanh Đàm, Phường Thanh Trì, Hoàng Mai, Hà Nội",80 m²,8.5 tỷ,,,4 tầng,,,Hợp đồng mua bán,,,
"Ngõ 63, Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",137 m²,12.8 tỷ,,2 m,,,,Sổ đỏ/ Sổ hồng,,,
"Đường Giải Phóng, Phường Giáp Bát, Hoàng Mai, Hà Nội",35 m²,Thỏa thuận,,,5 tầng,,,,,,
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",60 m²,14.5 tỷ,5 m,6 m,6 tầng,8 phòng,9 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cao cấp, sang trọng",,
"Ngõ 325, Đường Kim Ngưu, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",40 m²,4.2 tỷ,4 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Đội Cấn, Phường Ngọc Hà, Ba Đình, Hà Nội",39 m²,3.95 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cao cấp, sang trọng.",,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"đường Võng Thị, Phường Thụy Khuê, Tây Hồ, Hà Nội",40 m²,4.2 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cao cấp, sang trọng",,
"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội",38 m²,4.1 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất cao cấp,,
"Đường Nguyễn Phong Sắc, Phường Dịch Vọng, Cầu Giấy, Hà Nội",102 m²,29.8 tỷ,6.7 m,5 m,9 tầng,8 phòng,10 phòng,Sổ đỏ/ Sổ hồng,"Full nội thất cao cấp nhập khẩu, thang máy ",Bắc,
"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",70 m²,8.4 tỷ,4.2 m,3 m,8 tầng,10 phòng,11 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ nội thất cao cấp, thang máy nhập khẩu",,
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",52 m²,5.6 tỷ,6 m,,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cao cấp, sang trọng",,
"Đường Đại Tự, Xã Kim Chung, Hoài Đức, Hà Nội",30 m²,2.15 tỷ,,,4 tầng,3 phòng,3 phòng,,,Tây - Bắc,
"Phố Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",85 m²,10.5 tỷ,7.5 m,2 m,6 tầng,22 phòng,,,,,
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",58 m²,7.2 tỷ,,3 m,8 tầng,13 phòng,13 phòng,Sổ đỏ.,Full nội thất.,,
"Ngõ 215, Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",45 m²,11 tỷ,4 m,5 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản.,Nam,
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",40 m²,5.8 tỷ,4 m,6 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất ,Đông - Nam,
"Đường Đặng Thùy Trâm, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",48 m²,10.5 tỷ,3.5 m,5 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản đầy đủ,Đông - Nam,Đông - Nam
"Phường Phúc Đồng, Long Biên, Hà Nội",35 m²,Thỏa thuận,,,3 tầng,3 phòng,3 phòng,,,,
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",35 m²,2.9 tỷ,,,5 tầng,4 phòng,4 phòng,Pháp lý đầy đủ sẵn sàng giao dịch.,Đầy đủ và cơ bản.,,
"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",60 m²,15.5 tỷ,7 m,8 m,5 tầng,4 phòng,5 phòng,Sổ đỏ chính chủ,,,
"Ngõ 27, Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",55 m²,6.2 tỷ,4.2 m,3 m,5 tầng,7 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản đầy đủ,Tây - Bắc,Tây - Bắc
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",35 m²,4.2 tỷ,5 m,3 m,4 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full đồ nội thất ,Đông - Bắc,
"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",70 m²,8.4 tỷ,5 m,3 m,8 tầng,10 phòng,11 phòng,Sổ đỏ,Sang trọng,,
"Ngõ 9, Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội",36 m²,3.55 tỷ,4 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Sang trọng.,,
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",50 m²,8.5 tỷ,4 m,12 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full Nội Thất ,Tây,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",52 m²,5.5 tỷ,5 m,5 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Phố Tôn Đức Thắng, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",18 m²,1.35 tỷ,,,4 tầng,2 phòng,2 phòng,Đã có sổ,Đầy đủ,,
"Đường Hà Trì, Phường Hà Cầu, Hà Đông, Hà Nội",35 m²,3 tỷ,3.5 m,,5 tầng,4 phòng,,Pháp Lý đầy đủ sẵn sàng giao dịch,Đầy Đủ và tiện Nghi,,
"Ngõ 136, Đường Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội",65 m²,8.5 tỷ,,,4 tầng,3 phòng,3 phòng,Đã có sổ,Đầy đủ,,
"Đường Tây Sơn, Phường Trung Liệt, Đống Đa, Hà Nội",7 m²,920 triệu,,,7 tầng,3 phòng,,Đã có sổ,Đầy đủ,,
"Đường Đỗ Đức Dục, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",50 m²,9.5 tỷ,3.9 m,3 m,6 tầng,10 phòng,10 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Phố Phương Liệt, Phường Phương Liệt, Thanh Xuân, Hà Nội",109 m²,18.6 tỷ,4.4 m,10 m,4 tầng,4 phòng,4 phòng,Sổ đỏ chính chủ.,,,
"Quan Thổ 1, Phố Tôn Đức Thắng, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",75 m²,7.99 tỷ,3.8 m,8 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Đường Kim Liên, Phường Kim Liên, Đống Đa, Hà Nội",50 m²,10.8 tỷ,4.62 m,5 m,6 tầng,4 phòng,6 phòng,Sổ đỏ cất két sẵn sàng giao dịch,Nội thất nhập khẩu hoàn toàn,,
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",56 m²,5.6 tỷ,3.8 m,4 m,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",45 m²,8.8 tỷ,,2 m,6 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,
"Ngõ 402, đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",38 m²,4.3 tỷ,3.8 m,2.5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp,,
"Ngõ 193, Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",36 m²,3.95 tỷ,4.5 m,5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ,Sang trọng,,
"Đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",45 m²,Thỏa thuận,5 m,10 m,5 tầng,3 phòng,4 phòng,Sổ đỏ,Nội thất đầy đủ.,,
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",32 m²,3.5 tỷ,3.5 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp.,,
"Ngõ 444, Đường Thụy Khuê, Phường Bưởi, Tây Hồ, Hà Nội",40 m²,3.5 tỷ,,,,4 phòng,,Sổ đỏ,,,
"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",44 m²,9.5 tỷ,4.4 m,15 m,7 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Phố An Xá, Phường Phúc Xá, Ba Đình, Hà Nội",63 m²,6.9 tỷ,,2 m,,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",93 m²,15.5 tỷ,,6 m,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Hồ Đắc Di, Phường Nam Đồng, Đống Đa, Hà Nội",36 m²,6.15 tỷ,6.8 m,2 m,4 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",45 m²,5.85 tỷ,4.2 m,2 m,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",33 m²,4.5 tỷ,,,4 tầng,3 phòng,3 phòng,Sổ đẹp,Cơ bản,,
"Đường 32, Xã Kim Chung, Hoài Đức, Hà Nội",80.3 m²,Thỏa thuận,,13 m,,,,,,Tây - Nam,Tây - Bắc
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",46 m²,8.6 tỷ,4 m,,7 tầng,6 phòng,6 phòng,Sổ đỏ,Sang trọng.,,
"Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội",112 m²,20.3 tỷ,,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường 32, Xã Kim Chung, Hoài Đức, Hà Nội",80.6 m²,Thỏa thuận,5 m,12 m,4 tầng,,,Sổ đỏ/ Sổ hồng.,,Đông - Nam,
"Ngõ 445, Đường Nguyễn Khang, Phường Quan Hoa, Cầu Giấy, Hà Nội",52 m²,4.8 tỷ,4 m,3 m,4 tầng,6 phòng,4 phòng,,,Tây - Bắc,
"Đường Quốc lộ 32, Xã Kim Chung, Hoài Đức, Hà Nội",77.5 m²,Thỏa thuận,5 m,12 m,4 tầng,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,
