Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Nội thất,Số phòng ngủ
"Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.35 tỷ,3.3 m,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Cửa an toàn khung thép hộp, cửa chính thống phòng đều bằng gỗ lim, cửa sổ nhôm kính Việt Pháp, bếp làm bằng gỗ sồi, cầu thang đá granite tự nhiên, tay vịn gỗ, trần thạch cao kèm hệ thống đèn led tiết.",3 phòng
"Đường 1, Phường Phú Lãm, Hà Đông, Hà Nội",36 m²,2.5 tỷ,4 m,3 m,,,4 tầng,,Sổ đỏ/ Sổ hồng.,,
"Đường Tô Hiệu, Phường Hà Cầu, Hà Đông, Hà Nội",55 m²,6.5 tỷ,5 m,6 m,,,3 tầng,3 phòng,Sổ đỏ,Full nội thất,3 phòng
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",33 m²,2.2 tỷ,3.5 m,,,,4 tầng,3 phòng,"Sổ đỏ chính chủ, giấy phép xây dựng, bản vẽ thiết kế đầy đủ sẵn sàng giao dịch.","Nội thất bàn giao cơ bản: Trần thạch cao. Cửa chống cháy, chịu lực, cửa nhôm Việt Pháp, cầu thang tay vịn gỗ Lim mặt đá granit, tủ bếp gỗ Sồi,...",2 phòng
"Đường Cổ Bản, Phường Đồng Mai, Hà Đông, Hà Nội",40 m²,2.8 tỷ,5 m,4 m,Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",36 m²,6.6 tỷ,4 m,15 m,,,5 tầng,3 phòng,Sổ đỏ sẵn sàng giao dịch,,3 phòng
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",55 m²,8.5 tỷ,3.4 m,4 m,,,2 tầng,1 phòng,Sổ đỏ/ Sổ hồng,,2 phòng
"Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",33 m²,3.2 tỷ,,,,,6 tầng,4 phòng,Sổ đỏ chính chủ.,Tặng nội thất.,3 phòng
"Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",34 m²,2.2 tỷ,3.4 m,,,,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",75 m²,4.8 tỷ,5 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất.,4 phòng
"Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",45 m²,4.45 tỷ,,,,,6 tầng,5 phòng,Sổ đỏ chính chủ.,,4 phòng
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",65 m²,7.6 tỷ,,,,,4 tầng,,Đã có sổ đỏ,,
"Đường Trường Chinh, Phường Phương Mai, Đống Đa, Hà Nội",40 m²,6.8 tỷ,,,,,5 tầng,4 phòng,,,3 phòng
"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",60 m²,6 tỷ,,,,,6 tầng,12 phòng,Sổ đỏ/ Sổ hồng.,,12 phòng
"Đường Nguyễn An Ninh, Phường Tương Mai, Hoàng Mai, Hà Nội",50 m²,7.9 tỷ,6 m,,,,6 tầng,5 phòng,Sổ đỏ.,Đầy đủ.,5 phòng
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",35 m²,3.15 tỷ,,,,,4 tầng,,Sổ đỏ/ Sổ hồng.,,
"Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội",45 m²,3.45 tỷ,4 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,4 phòng
"Tổ 14, Phường Yên Nghĩa, Hà Đông, Hà Nội",34 m²,2.15 tỷ,,,,,4 tầng,,Sổ đỏ,"Nội thất bao gồm bàn bếp tủ bếp, đèn chùm, cửa chính, cửa thông phòng gỗ Lim, toàn bộ hệ thống thiết bị vệ sinh, đèn chiếu sáng, trang trí đầy đủ, cầu thang đá Granit, tay vịn gỗ, tủ bếp, máy bơm nước",
"Ngõ 59, Đường Mễ Trì Hạ, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",75 m²,4.8 tỷ,4.7 m,3 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất.,5 phòng
"Đường Nguyễn Xiển, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",52 m²,9 tỷ,3.6 m,6 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"Tổ 4, Phường Đồng Mai, Hà Đông, Hà Nội",50 m²,2.5 tỷ,,,,,3 tầng,,Sổ đỏ/ Sổ hồng,,3 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội",40 m²,3.5 tỷ,,5 m,Tây - Nam,,5 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Lê Quang Đạo, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",35 m²,2.8 tỷ,4 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,3 phòng
"đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",42 m²,3.4 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất.,3 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội",31 m²,2.55 tỷ,,,,,5 tầng,,Sổ đỏ,,2 phòng
"đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",33 m²,2.85 tỷ,4 m,2.5 m,Tây,Tây,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",62 m²,8 tỷ,6 m,10 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",33 m²,4.3 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",51 m²,7.2 tỷ,6.5 m,5 m,,,4 tầng,3 phòng,Sổ đỏ,,3 phòng
"Ngõ 82, Phố Trần Cung, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",50 m²,7.2 tỷ,,8 m,,,3 tầng,,Sổ đỏ,,
"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",38 m²,2.68 tỷ,,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",35 m²,4.1 tỷ,4 m,4 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp.,3 phòng
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",33 m²,2.68 tỷ,4 m,3 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Ngõ 20 Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",36 m²,4.2 tỷ,3.5 m,3 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,3 phòng
"Ngõ 495, Đường Nguyễn Trãi, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",35 m²,3.75 tỷ,3.5 m,,,,5 tầng,5 phòng,Sổ đỏ chính chủ.,Nội thất đầy đủ.,7 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,2.95 tỷ,,,,,5 tầng,,,,3 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội",32 m²,2.48 tỷ,3.5 m,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,2 phòng
"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",70 m²,8.6 tỷ,6 m,,,,4 tầng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,7 phòng
"Đường Yên Hòa, Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,2.45 tỷ,,,,,4 tầng,,Sổ đỏ,,
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",38 m²,5.05 tỷ,4 m,4 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp.,3 phòng
"Đường Văn La, Phường Phú La, Hà Đông, Hà Nội",38 m²,4.7 tỷ,4.5 m,3.5 m,,,5 tầng,3 phòng,Sổ đỏ,Nội thất cơ bản,5 phòng
"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",55 m²,2.4 tỷ,,,,,3 tầng,,Sổ đỏ/ Sổ hồng,,
"Phố Xốm, Phường Phú Lãm, Hà Đông, Hà Nội",36 m²,2.6 tỷ,3.5 m,30 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Nội thất trang bị đầy đủ, hệ thống cửa chính 2 lớp, hệ thống đèn led âm trần.",3 phòng
"Đường Quang Trung, Phường Phúc La, Hà Đông, Hà Nội",60 m²,6.2 tỷ,4 m,15 m,,,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,"Đầy Đủ,",6 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội",40 m²,2.3 tỷ,,,,,4 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",36 m²,3.8 tỷ,4 m,4 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,3 phòng
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",45 m²,3.35 tỷ,4 m,2.5 m,,,4 tầng,3 phòng,Sổ đỏ,,4 phòng
"Đường Hậu Ái, Xã Vân Canh, Hoài Đức, Hà Nội",45 m²,3.25 tỷ,3.5 m,3 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"521, Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội",32 m²,3.75 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ.,Nội thất đầy đủ.,3 phòng
"Đường Tô Hiệu, Phường Hà Cầu, Hà Đông, Hà Nội",45 m²,5 tỷ,,,,,5 tầng,5 phòng,Sổ đỏ.,,5 phòng
"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội",35 m²,5 tỷ,4 m,4 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,3 phòng
"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",45 m²,5.5 tỷ,3.5 m,5 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,5 phòng
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",47 m²,4.3 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",40 m²,5.2 tỷ,5.6 m,4 m,,,6 tầng,5 phòng,Sổ đỏ,,5 phòng
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",36 m²,4 tỷ,4 m,,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp.,3 phòng
"Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",38 m²,5.05 tỷ,4 m,,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp.,3 phòng
"Đường Sùng Khang, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",36 m²,2.35 tỷ,4 m,4 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Phố Linh Lang, Phường Liễu Giai, Ba Đình, Hà Nội",45 m²,5.7 tỷ,4.18 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,6 phòng
"Đường Lê Hồng Phong, Phường Quang Trung, Hà Đông, Hà Nội",45 m²,6.35 tỷ,5 m,3 m,,,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,5 phòng
"Ngõ 200, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",38 m²,1.5 tỷ,,,,,2 tầng,2 phòng,Đang chờ sổ.,Đầy đủ.,2 phòng
"Ngõ 250, Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",40 m²,2 tỷ,4.5 m,,,,2 tầng,2 phòng,Chưa sổ.,,2 phòng
"Đường Lê Lợi, Phường Hà Cầu, Hà Đông, Hà Nội",65 m²,6 tỷ,6.5 m,,,,2 tầng,4 phòng,Sổ đỏ,Đầy đủ.,4 phòng
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",44 m²,4.5 tỷ,4 m,,,,4 tầng,,Sổ đỏ/ Sổ hồng,,
"Ngõ 243, Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",60 m²,2.9 tỷ,,,,,4 tầng,4 phòng,,Full đồ.,4 phòng
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",35 m²,3.99 tỷ,3.8 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Ngõ 126, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",30 m²,1.1 tỷ,,,,,2 tầng,1 phòng,,Cơ bản.,2 phòng
"Đường Đoàn Thị Điểm, Phường Cát Linh, Đống Đa, Hà Nội",46 m²,4.89 tỷ,4 m,3 m,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Văn La, Phường Phúc La, Hà Đông, Hà Nội",35 m²,3.65 tỷ,6.5 m,4 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,5 phòng
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",39 m²,2.75 tỷ,4 m,4 m,Tây,,3 tầng,2 phòng,Sổ đỏ/ Sổ hồng.,,2 phòng
"228, Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",15 m²,1.25 tỷ,,,,,4 tầng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng
"Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",30 m²,2.3 tỷ,4 m,4 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng
"Phố Bà Triệu, Phường Quang Trung, Hà Đông, Hà Nội",45 m²,6.35 tỷ,5 m,3.5 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,5 phòng
"Đường Do Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",60 m²,4.15 tỷ,4 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp.,4 phòng
"Đường Lĩnh Nam, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",35 m²,2.6 tỷ,3.5 m,4 m,,,5 tầng,4 phòng,Sổ đỏ.,Đầy đủ.,5 phòng
"Đường Ngô Đình Mẫn, Phường La Khê, Hà Đông, Hà Nội",40 m²,6.9 tỷ,7 m,8 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,ĐẦY ĐỦ,5 phòng
"Đường Ngô Đình Mẫn, Phường La Khê, Hà Đông, Hà Nội",40 m²,6.9 tỷ,7 m,8 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,ĐẦY ĐỦ,5 phòng
"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",34 m²,2.55 tỷ,4 m,4 m,,,4 tầng,3 phòng,Sổ đỏ.,Đầy đủ.,4 phòng
"Ngõ 93, Đường Tây Trà, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",39 m²,4.3 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng
"Đường Tô Hiệu, Phường Nguyễn Trãi, Hà Đông, Hà Nội",50 m²,7.5 tỷ,4.5 m,10 m,,,6 tầng,6 phòng,Sổ đỏ,Đầy đủ.,6 phòng
"Đường Nguyễn Chính, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",22 m²,2.3 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng
"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",35 m²,3.65 tỷ,4 m,5 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,4 phòng
"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",38 m²,4.25 tỷ,,,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,4 phòng
"Phố Bà Triệu, Phường Hà Cầu, Hà Đông, Hà Nội",35 m²,4.7 tỷ,4 m,4 m,,,6 tầng,6 phòng,Sổ đỏ,Đầy đủ.,6 phòng
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",110 m²,7.5 tỷ,5.5 m,4 m,Tây - Nam,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",51 m²,9 tỷ,5.2 m,3.5 m,,,4 tầng,5 phòng,Sổ đỏ.,Đầy đủ.,5 phòng
"Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội",38 m²,3.8 tỷ,,,,,,,,,
"Xã Vân Nội, Đông Anh, Hà Nội",54 m²,38 triệu/m²,,,,,,,,,
"Đường Phú Mỹ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",50 m²,4.2 tỷ,,,,,,,Sổ đỏ,,
"Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội",46 m²,5.5 tỷ,,,,,3 tầng,,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Mễ Trì Hạ, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",55 m²,6.85 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Ngõ 59 Đường Mễ Trì Hạ, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",54 m²,6.9 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",30 m²,2.2 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,5 phòng
"Đường Tây Trà, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",30 m²,2.4 tỷ,3.5 m,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,5 phòng
"Ngõ 58, Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội",50 m²,7.8 tỷ,,,,,4 tầng,,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",55 m²,7 tỷ,4.2 m,,,,5 tầng,,Sổ đỏ.,,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",50 m²,5.2 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Lĩnh Nam, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",34 m²,2.5 tỷ,3.5 m,4 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,5 phòng
"Đường Đông Thiên, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",30 m²,2.15 tỷ,3.5 m,4 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,6 phòng
"Ngõ 58, Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội",33 m²,4.25 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ.,Nội thất Châu Âu.,4 phòng
"Đường Lĩnh Nam, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",40 m²,2.6 tỷ,,,,,3 tầng,3 phòng,,Đầy đủ.,3 phòng
"Đường Nguyễn Chính, Phường Tân Mai, Hoàng Mai, Hà Nội",60 m²,7 tỷ,4.2 m,10 m,,,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp.,4 phòng
"Đường Hàm Nghi, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",61 m²,8 tỷ,4.5 m,5 m,,,5 tầng,12 phòng,Sổ đỏ/ Sổ hồng,,12 phòng
"Phố Hàng Bài, Phường Hàng Bài, Hoàn Kiếm, Hà Nội",48 m²,8.5 tỷ,5 m,,,,4 tầng,,,,
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",39 m²,4.2 tỷ,3 m,4 m,,,4 tầng,3 phòng,Đã có sổ.,Cao cấp.,2 phòng
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",35 m²,4.3 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",70 m²,7.5 tỷ,6 m,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội",40 m²,3.29 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,4 phòng
"Ngõ 333, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",32 m²,2.9 tỷ,4.5 m,2 m,Đông - Bắc,Đông - Bắc,1 tầng,1 phòng,,,1 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội",32 m²,1.55 tỷ,3.5 m,,,,2 tầng,2 phòng,,,3 phòng
"Phố Linh Lang, Phường Cống Vị, Ba Đình, Hà Nội",45 m²,5.95 tỷ,4.5 m,,,,,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,4 phòng
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",30 m²,2.6 tỷ,3.45 m,2.5 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội",70 m²,8.86 tỷ,7 m,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,4 phòng
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",30 m²,3.46 tỷ,4 m,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",58 m²,6.3 tỷ,,12 m,,,5 tầng,,Sổ đỏ.,Đầy đủ nội thất.,4 phòng
"Phố Ngọc Trì, Phường Thạch Bàn, Long Biên, Hà Nội",48.9 m²,3.7 tỷ,,,,,,,,,
"Ngõ 521/51 Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội",46 m²,5.6 tỷ,5 m,3.5 m,Bắc,Bắc,5 tầng,4 phòng,,"Điều hoà, nóng lạnh, quạt...",5 phòng
"Ngõ 1/62, Đường Huỳnh Tấn Phát, Phường Thạch Bàn, Long Biên, Hà Nội",33 m²,3.5 tỷ,4 m,2.5 m,,,5 tầng,3 phòng,,,3 phòng
"Đường Đại Linh, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",36 m²,4.68 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,4 phòng
"Đường Đại Linh, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",36 m²,4.68 tỷ,3.5 m,6 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội",38 m²,4.1 tỷ,,3 m,,,5 tầng,,Sổ đỏ,,3 phòng
"Phố Chính Kinh, Phường Nhân Chính, Thanh Xuân, Hà Nội",45 m²,5.9 tỷ,,3 m,,,5 tầng,,Sổ đỏ chính chủ.,,3 phòng
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",35 m²,3.75 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất sang trọng, sàn gỗ Malaysia, Của cuốn Bossdoor, bình nóng lạnh Picenza nội thất trong nhà là hàng nhập, tủ bếp, Cửa thông phòng, cầu thang làm bằng gỗ Lim nam phi, Trần thạch cao.",3 phòng
"Ngõ 64, Đường Đông Thiên, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",44 m²,3.75 tỷ,,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Đội Cấn, Phường Ngọc Hà, Ba Đình, Hà Nội",36 m²,4.7 tỷ,4 m,3 m,,,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cao cấp nhập khẩu hoàn toàn. Cửa phòng ngủ, cầu thang, gỗ Lim nguyên khối, thiết bị vệ sinh Inax, tủ bếp gỗ cao cấp, trần thạch cao .",3 phòng
"Đường Đông Thiên, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",45 m²,3.75 tỷ,,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Giá trị.,3 phòng
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",36 m²,4.7 tỷ,4 m,3 m,,,6 tầng,5 phòng,Sổ đỏ/ sổ hồng,"Nội thất cao cấp nhập khẩu hoàn toàn. Cửa phòng ngủ, cầu thang, gỗ Lim nguyên khối, thiết bị vệ sinh Inax, tủ bếp gỗ cao cấp, trần thạch cao.",3 phòng
"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",63 m²,8.8 tỷ,,,,,5 tầng,4 phòng,,,6 phòng
"Ngõ 399, Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",50 m²,5.6 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"NT quá đẹp quá hiện đại, toàn đồ gỗ cao cấp từ tủ bếp đến cầu thang cửa chính, cửa thông phòng. Thiết bị điện Panasonic, cửa quấn Boosdoor. Trần thạch cao siêu đẹp. Đảm bảo không có con thứ 2.",6 phòng
"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",45 m²,4.55 tỷ,6.8 m,,Đông,,5 tầng,,Sổ đỏ chính chủ.,"Nội thất sang trọng, cửa thông phòng + cầu thang Lim, có giường tủ.",6 phòng
"Đường Nguyễn Văn Huyên, Phường Quan Hoa, Cầu Giấy, Hà Nội",35 m²,4 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"nội thất Sang trọng, Điều hòa, Nóng Lạnh. Tủ bếp, Cửa thông phòng, cầu thang làm bằng gỗ Lim nam phi, Trần thạch cao. ",3 phòng
"Phố Trần Cung, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",35 m²,3.75 tỷ,4 m,3 m,,,5 tầng,4 phòng,,"Nội thất sang trọng, sàn gỗ Malayxia, Của cuốn Bossdoor, bình nóng lạnh Picenza nội thất trong nhà là hàng nhập, tủ bếp, Cửa thông phòng, cầu thang làm bằng gỗ Lim nam phi, Trần thạch cao.",3 phòng
