Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",50 m²,6.9 tỷ,,,5 tầng,,,Sổ đỏ,,,
"Ngõ 141, Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",35 m²,3.85 tỷ,,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ.,,Tây,Tây
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",128 m²,24 tỷ,5 m,10 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Hương Viên, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",39 m²,5.35 tỷ,,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam
"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",40 m²,12.5 tỷ,4.2 m,5 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất gắn tường.,,
"Ngõ 68/79/104, Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội",31 m²,2.75 tỷ,3.4 m,2.5 m,4 tầng,3 phòng,4 phòng,Đã có sổ đỏ,,Đông - Nam,
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",106 m²,13.5 tỷ,6 m,6 m,4 tầng,8 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",36 m²,3.8 tỷ,,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",50 m²,11.8 tỷ,4.82 m,18 m,6 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,"Nội thất đầy đủ, cao cấp nhập khẩu",,
"Đường Dốc Thọ Lão, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",39 m²,5.35 tỷ,,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam
"Ngõ 133, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",50 m²,16 tỷ,,,7 tầng,,,,,,
"Đường Hoàng Hoa Thám, Phường Liễu Giai, Ba Đình, Hà Nội",35 m²,4.1 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Cầu thang gỗ Lim, cửa gỗ Lim nguyên khối. sàn gỗ nhập khẩu, tủ bếp gỗ cao cấp, thiết bị vệ sinh cao cấp, trần thạch cao.",,
"Đường Đào Tấn, Phường Liễu Giai, Ba Đình, Hà Nội",60 m²,8.3 tỷ,4.2 m,,,,,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",50 m²,9.5 tỷ,4 m,4 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Tây - Bắc,Tây - Bắc
"Đường Đội Cấn, Phường Liễu Giai, Ba Đình, Hà Nội",35 m²,4.1 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Cầu thang gỗ Lim, cửa gỗ Lim nguyên khối. sàn gỗ nhập khẩu, tủ bếp gỗ cao cấp, thiết bị vệ sinh cao cấp, trần thạch cao.",,
"Đường Vũ Phạm Hàm, Phường Trung Hòa, Cầu Giấy, Hà Nội",95 m²,23 tỷ,,10 m,7 tầng,10 phòng,8 phòng,Sổ đỏ/ Sổ hồng,,,
"Ngõ 82, Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",200 m²,22.5 tỷ,,,3 tầng,,,,,,
"Ngõ 32, Đường Hạ Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",45 m²,5.3 tỷ,4 m,,4 tầng,4 phòng,,,,,
"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội",200 m²,22.5 tỷ,,,3 tầng,,,Sổ đỏ.,,,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",40 m²,6.5 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,,
"Đường Huỳnh Thúc Kháng, Phường Láng Hạ, Đống Đa, Hà Nội",99 m²,26.6 tỷ,7.1 m,7 m,7 tầng,20 phòng,21 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cao cấp, đầy đủ, kinh doanh luôn và có dthu dòng tiền",,
"Đường Tô Vĩnh Diện, Phường Khương Trung, Thanh Xuân, Hà Nội",43 m²,4.7 tỷ,4 m,3 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,
"Đường Nguyễn Phong Sắc, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",100 m²,Thỏa thuận,5 m,,7 tầng,,,Sổ đỏ,,,
"Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Cầu Giấy, Hà Nội.",40 m²,7 tỷ,4 m,5 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Phố Phùng Hưng, Phường Kiến Hưng, Hà Đông, Hà Nội",50 m²,5.5 tỷ,4.5 m,,2 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Kiến Hưng, Phường Kiến Hưng, Hà Đông, Hà Nội",36 m²,3.5 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Lê Trọng Tấn, Phường Khương Trung, Thanh Xuân, Hà Nội",72 m²,6.95 tỷ,4.5 m,,,,,Sổ đỏ/ Sổ hồng,,,
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",60 m²,10.5 tỷ,4.5 m,10 m,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội",100 m²,18 tỷ,5 m,,5 tầng,,,Sổ đỏ/ Sổ hồng.,,,
"Đường Hoàng Đạo Thành, Phường Kim Giang, Thanh Xuân, Hà Nội",150 m²,Thỏa thuận,5 m,,4 tầng,6 phòng,5 phòng,,Nhà xây 4 tầng kiên cố.,,
"104, Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",96 m²,18 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,,
"Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội",20 m²,2.9 tỷ,5 m,5 m,4 tầng,3 phòng,3 phòng,Sổ đỏ chính chủ,Hoàn thiện,Nam,
"Ngõ 2, Phố Giảng Võ, Phường Cát Linh, Đống Đa, Hà Nội",75 m²,27 tỷ,,,,,,Sổ đỏ chính chủ,,,
"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",330 m²,23 tỷ,12 m,8 m,1 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,
"Đường Chu Huy Mân, Phường Phúc Đồng, Long Biên, Hà Nội",40 m²,3.5 tỷ,4 m,4 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Ngõ 63, Đường Lê Đức Thọ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",90 m²,8.8 tỷ,4.7 m,3.6 m,6 tầng,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Q111đầy đủ tiện nghi,,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",35 m²,4 tỷ,5 m,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường An Hòa, Phường Mỗ Lao, Hà Đông, Hà Nội",40 m²,8.5 tỷ,4 m,4.5 m,4 tầng,4 phòng,,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Đường Xuân La, Phường Thụy Khuê, Tây Hồ, Hà Nội",210 m²,21 tỷ,12.5 m,5 m,4 tầng,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ tiện nghi,,
"Xã Phụng Châu, Chương Mỹ, Hà Nội",33 m²,1.4 tỷ,5 m,2.5 m,3 tầng,3 phòng,3 phòng,Sổ đỏ,Nội thất cơ bản,Đông - Nam,Đông
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",45 m²,11.35 tỷ,10 m,6 m,5 tầng,4 phòng,4 phòng,,,Đông - Nam,
"Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",40 m²,Thỏa thuận,4 m,3.5 m,4 tầng,,,Sổ đỏ/ Sổ hồng,,Nam,
"Đường Gia Thượng, Phường Thượng Thanh, Long Biên, Hà Nội.",50 m²,3.9 tỷ,10 m,4 m,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",45 m²,3.2 tỷ,,,6 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",36 m²,3.5 tỷ,4 m,,5 tầng,3 phòng,,,,,
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",45 m²,6.5 tỷ,4 m,,4 tầng,4 phòng,,Sổ đỏ,,,
"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội",44 m²,9 tỷ,5.5 m,5 m,6 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất.,Đông - Bắc,Đông - Bắc
"Ngõ 86 Đường Tô Vĩnh Diện, Phường Khương Trung, Thanh Xuân, Hà Nội",35 m²,7.4 tỷ,4 m,4 m,6 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",40 m²,6.6 tỷ,4.7 m,3 m,6 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Gia chủ tặng full đồ nội thất trị giá tầm 400 triệu.,Đông - Bắc,Đông - Bắc
"Đường Kim Đồng, Phường Giáp Bát, Hoàng Mai, Hà Nội",50 m²,13.9 tỷ,4.2 m,8 m,7 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,Tây - Nam,Tây - Nam
"Phố Ngọc Khánh, Phường Ngọc Khánh, Ba Đình, Hà Nội",47 m²,7.6 tỷ,,2 m,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",48 m²,12.9 tỷ,4.5 m,3.5 m,7 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,"Thang máy Mitsubishi, tủ bếp Đức...",Tây - Bắc,
"Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",84 m²,17.2 tỷ,6 m,6 m,7 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Nam,Nam
"Phố Vũ Tông Phan, Phường Kim Giang, Thanh Xuân, Hà Nội",70 m²,11 tỷ,5 m,,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Tiện nghi.,,
"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",43 m²,3.4 tỷ,,,,3 phòng,,Sổ đỏ/ Sổ hồng,Full nội thất,,
"Đường Hoa Bằng, Phường Yên Hòa, Cầu Giấy, Hà Nội",50 m²,7.15 tỷ,3.5 m,4 m,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,Đông - Bắc
"Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",65 m²,12.2 tỷ,5 m,6 m,5 tầng,6 phòng,5 phòng,Sổ đỏ chính chủ,Cơ bant sang trọng tiện nghi,,
"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",60 m²,15.7 tỷ,3.8 m,7 m,6 tầng,6 phòng,8 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Đường Đông Thiên, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",41 m²,3.75 tỷ,3.5 m,2.5 m,4 tầng,5 phòng,3 phòng,Sổ đỏ chính chủ,Tặng toàn bộ nội thất cao cấp.,Đông - Bắc,Đông - Bắc
"Phố Trần Đại Nghĩa, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",100 m²,25 tỷ,4.2 m,6 m,7 tầng,30 phòng,30 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Đường Tô Vĩnh Diện, Phường Khương Trung, Thanh Xuân, Hà Nội",38 m²,7.95 tỷ,4 m,3 m,6 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam
"Ngõ 73, Đường Hoàng Ngân, Phường Nhân Chính, Thanh Xuân, Hà Nội",48 m²,6.9 tỷ,4.3 m,2.5 m,6 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Đường Trần Quốc Vượng, Phường Dịch Vọng, Cầu Giấy, Hà Nội",32 m²,5 tỷ,5.2 m,2.5 m,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Đường Hoa Bằng, Phường Yên Hòa, Cầu Giấy, Hà Nội",48 m²,7.1 tỷ,3.5 m,3 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông - Bắc,
"68, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",32 m²,4.28 tỷ,3.3 m,2.2 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,Tây - Nam
"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",38 m²,7.18 tỷ,4 m,6 m,7 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất sang trọng và đẳng cấp.,,
"Đường Trích Sài, Phường Bưởi, Tây Hồ, Hà Nội",100 m²,21 tỷ,9 m,2.5 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam
"đường Trung Văn, Phường Trung Văn, Nam Từ Liêm, Hà Nội",60 m²,8.3 tỷ,5.1 m,5 m,6 tầng,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,
"Đường Trần Vỹ, Phường Mai Dịch, Cầu Giấy, Hà Nội",55 m²,12 tỷ,,8 m,4 tầng,5 phòng,5 phòng,Sổ hồng,Đầy đủ tiện nghi.,,
"Ngõ 63, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",166 m²,32 tỷ,7.8 m,5 m,9 tầng,26 phòng,26 phòng,,,,
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",72 m²,11.5 tỷ,,,4 tầng,4 phòng,3 phòng,,,,
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội.",65 m²,8 tỷ,5 m,,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,
"Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",50 m²,11.3 tỷ,4.2 m,5 m,6 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Nam,Nam
"195, Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",101 m²,18.5 tỷ,7.5 m,5 m,5 tầng,6 phòng,7 phòng,,,,
"Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội",40 m²,6.5 tỷ,3.8 m,2.2 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Đường Lê Hồng Phong, Phường Quang Trung, Hà Đông, Hà Nội",45 m²,6.35 tỷ,5 m,3 m,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
"63, Đường Lê Đức Thọ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",40 m²,6.2 tỷ,4 m,4 m,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Đường Văn Cao, Phường Cống Vị, Ba Đình, Hà Nội",62 m²,15.8 tỷ,3.8 m,4 m,6 tầng,8 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội",55 m²,26 tỷ,,,7 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",43 m²,2.45 tỷ,3.4 m,3 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam
"Đường Văn La, Phường Phúc La, Hà Đông, Hà Nội",35 m²,3.65 tỷ,6.5 m,4 m,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
"Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",86 m²,11.6 tỷ,6 m,,8 tầng,20 phòng,20 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",45 m²,5.5 tỷ,4.5 m,2.2 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full đồ nội thất xịn xò.,Tây - Nam,Tây - Nam
"Phường Kiến Hưng, Hà Đông, Hà Nội",55 m²,11.5 tỷ,4 m,40 m,6 tầng,5 phòng,5 phòng,Sổ đỏ,Đầy đủ.,,
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",55 m²,14.5 tỷ,4.5 m,6 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,Bắc,Bắc
"Ngõ 15 Gốc Đề, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",36 m²,4.9 tỷ,4 m,10 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Phố Chùa Bộc, Phường Khương Thượng, Đống Đa, Hà Nội",28 m²,3.2 tỷ,10 m,,4 tầng,4 phòng,4 phòng,,ĐẦY ĐỦ.,,
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",54 m²,8 tỷ,3.5 m,5 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,Nam,Nam
"Đường Ba La, Phường Phú La, Hà Đông, Hà Nội",50 m²,Thỏa thuận,4 m,8 m,5 tầng,5 phòng,5 phòng,Sổ đỏ,ĐẦY ĐỦ.,,
"Ngách 157, Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",42 m²,5 tỷ,4 m,2.2 m,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam
"Đường Ngô Gia Tự, Phường Gia Thụy, Long Biên, Hà Nội",36 m²,3.28 tỷ,,,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất full đồ chủ để lại.,,
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",56 m²,11.5 tỷ,3.85 m,4 m,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,Tây - Nam,Tây - Nam
"Đường Nguyễn An Ninh, Phường Tương Mai, Hoàng Mai, Hà Nội",54 m²,7.25 tỷ,3.5 m,2.2 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,Tây - Bắc
"Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội",30 m²,4.1 tỷ,3.5 m,4 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,Tây - Nam,Tây - Nam
"Đường Quang Trung, Phường Phúc La, Hà Đông, Hà Nội",60 m²,6.2 tỷ,4 m,15 m,5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,"Đầy Đủ,",,
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",74 m²,16.8 tỷ,5.6 m,8 m,6 tầng,7 phòng,5 phòng,Sổ đỏ,Cơ bản.,,
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",34 m²,5.5 tỷ,3.6 m,2.5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Nam,Nam
"Quan Thổ 1, Phố Tôn Đức Thắng, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",75 m²,7.79 tỷ,3.8 m,8 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",60 m²,11.8 tỷ,3.5 m,5 m,5 tầng,6 phòng,4 phòng,Sổ đỏ,Nội thất đầy đủ.,,
"Dự án The Ori Garden, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",45 m²,Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng,,,
"Ngõ 364, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",48 m²,5.5 tỷ,5 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Nam,Nam
"Đường Đền Lừ, Phường Tân Mai, Hoàng Mai, Hà Nội",55 m²,9.3 tỷ,,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Quốc lộ 6, Xã Phụng Châu, Chương Mỹ, Hà Nội",30 m²,1.5 tỷ,4 m,4.5 m,3 tầng,3 phòng,2 phòng,,Như hình,,
"Ngõ 68, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",55 m²,9.3 tỷ,4.3 m,,6 tầng,6 phòng,6 phòng,"Sổ đỏ, sổ hồng.",Hiện đại.,,
"Đường Quốc lộ 6, Xã Phụng Châu, Chương Mỹ, Hà Nội",30 m²,1.25 tỷ,3.5 m,2.7 m,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"1. Cầu thang gỗ Lim. 2. Cửa chính gỗ Lim 2. Cửa thông phòng tầng 2 gỗ Lim. 3. Tủ bếp, kệ bếp gỗ tự nhiên 4. Trần thạch cao sang trọng, hiện đại, đèn Led 3 màu. 5. Dây điện Trần Phú, ống nhựa Tiền Phon",,
"Ngõ 82 ngách 122, Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",52 m²,5.58 tỷ,6 m,3.5 m,5 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Nam,Nam
"Đường Nguyễn Văn Linh, Phường Phúc Đồng, Long Biên, Hà Nội",38 m²,2.9 tỷ,,,3 tầng,3 phòng,3 phòng,Sổ đỏ.,,,
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",40 m²,5.2 tỷ,5.6 m,4 m,6 tầng,5 phòng,5 phòng,Sổ đỏ,,,
"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",70 m²,8.6 tỷ,6 m,,4 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
"Ngõ 8, Đường Quang Lãm, Phường Phú Lãm, Hà Đông, Hà Nội",35 m²,81 triệu/m²,4.5 m,4 m,4 tầng,3 phòng,4 phòng,Sổ đỏ,,,
"Đường Đê La Thành, Phường Trung Phụng, Đống Đa, Hà Nội",15 m²,1.42 tỷ,3 m,2 m,4 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,Đông - Nam,Đông - Nam
"Đường Chu Huy Mân, Phường Phúc Đồng, Long Biên, Hà Nội",58 m²,5.35 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ.,,,
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",46 m²,10.48 tỷ,4 m,8 m,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất sang trọng và đẳng cấp.,,
"Đường Ngô Đình Mẫn, Phường La Khê, Hà Đông, Hà Nội",40 m²,6.9 tỷ,7 m,8 m,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,ĐẦY ĐỦ,,
"164 Phố Hồng Mai, Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",12.5 m²,1.4 tỷ,3.5 m,2 m,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Phố Bà Triệu, Phường Quang Trung, Hà Đông, Hà Nội",45 m²,6.35 tỷ,5 m,3.5 m,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
"Đường Bát Khối, Phường Long Biên, Long Biên, Hà Nội",131 m²,5.8 tỷ,9 m,5 m,3 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"Số 34B, ngõ 29 Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",55 m²,12 tỷ,5 m,3 m,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Tây - Bắc
"Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",38 m²,3.2 tỷ,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Ngô Thì Nhậm, Phường La Khê, Hà Đông, Hà Nội",51 m²,Thỏa thuận,6 m,40 m,5 tầng,5 phòng,5 phòng,Sổ đỏ,Đầy đủ,,
"Phường Khương Đình, Thanh Xuân, Hà Nội",36 m²,4.45 tỷ,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Lệ Mật, Phường Việt Hưng, Long Biên, Hà Nội",40 m²,2.85 tỷ,,,4 tầng,4 phòng,4 phòng,Sổ đỏ.,,,
"Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",65 m²,8.8 tỷ,5 m,5 m,5 tầng,5 phòng,5 phòng,Sổ đỏ,Đầy đủ.,,
"Ngõ 66, đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",40 m²,4.2 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cao cấp sang trọng,,
"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",38 m²,7.2 tỷ,4 m,3 m,6 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cao cấp sang trọng.,,
"Phố Trần Quốc Hoàn, Phường Dịch Vọng, Cầu Giấy, Hà Nội",46 m²,12.48 tỷ,5 m,8 m,5 tầng,4 phòng,4 phòng,,Nội thất sang trọng và đẳng cấp.,,
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",41 m²,4.6 tỷ,,,5 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,,,
